                2014                  22                   2                   0                   1                   1                   3                   0                   7                   1                   4                   2                  40                   1                   2                  40                   1                  48                   1
                2014                  23                   3                   0                   1                   2                   3                   1                   1                   4                   0                   2                  12                   1                   2                  40                   1                  49                   1
                2014                  17                   1                   0                   3                   1                   1                   1                   0                   1                   2                   2                  -1                   1                   2                  40                   1                  50                   1
                2014                  25                   4                   2                   1                   2                   4                   0                   4                   4                   3                   1                  70                   1                   2                  40                   1                  51                   2
                2014                  22                   3                   2                   1                   1                   3                   3                   7                   3                   1                   2                  45                   1                   2                  40                   1                  52                   3
                2014                  21                   1                   2                   3                   1                   4                   3                   0                   2                   0                   2                  40                   1                   2                  60                   1                  53                   3
                2014                  20                   3                   2                   1                   2                   7                   0                   0                   1                   3                   0                  -1                   2                   2                  -1                   7                  54                   2
                2014                  25                   4                   0                   3                   1                   4                   1                   1                   4                   1                   0                  -1                   1                   1                  40                   1                  55                   1
                2014                   6                   2                   4                   2                   2                   7                   4                   7                   3                   0                   0                  -1                   5                   2                  16                   2                  56                   1
                2014                   9                   3                   2                   1                   2                   7                   1                   3                   1                   0                   0                  -1                   2                   2                  -1                   5                  57                   3
                2014                  21                   3                   0                   1                   2                   7                   1                   2                   4                   0                   0                  -1                   5                   2                  40                   1                  58                   3
                2014                  22                   3                   2                   1                   2                   7                   1                   7                   3                   0                   0                  -1                   5                   2                  30                   1                  59                   2
                2014                  25                   3                   2                   3                   2                   3                   0                   0                   3                   1                   2                  50                   1                   2                  -1                   7                  60                   3
                2014                  13                   3                   1                   1                   1                   7                   3                   4                   4                   0                   0                  -1                   5                   2                  14                   2                  61                   3
                2014                  14                   4                   0                   3                   2                   7                   3                   4                   3                   0                   0                  -1                   5                   2                  36                   1                  62                   2
                2014                  25                   2                   0                   3                   2                   4                   3                   3                   4                   0                   2                  -1                   1                   2                  -1                   8                  63                   3
                2014                  22                   4                   0                   3                   2                   7                   1                   3                   4                   0                   0                  -1                   5                   2                  40                   1                  64                   3
                2014                  25                   4                   0                   3                   1                   4                   4                   4                   4                   0                   2                  55                   1                   2                  55                   1                  65                   1
                2014                  25                   4                   2                   1                   1                   4                   0                   0                   4                   2                   2                  40                   1                   1                  35                   1                  66                   3
                2014                  25                   3                   1                   1                   2                   4                   3                   1                   3                   0                   1                  40                   1                   1                  50                   1                  67                   3
                2014                  25                   3                   2                   1                   1                   7                   1                   3                   4                   3                   0                  -1                   3                   2                  70                   1                  68                   2
                2014                  21                   5                   2                   1                   1                   7                   4                   3                   3                   0                   0                  -1                   5                   2                  50                   1                  69                   3
                2014                  25                   3                   2                   1                   1                   7                   1                   1                   1                   0                   0                  -1                   5                   2                  40                   1                  70                   3
                2014                  15                   3                   2                   1                   1                  -1                   0                   0                   2                   2                   0                  -1                   3                   2                  -1                   8                  71                   2
                2014                  25                   3                   2                   1                   2                   4                   0                   1                   4                   2                   2                  40                   1                   2                  -1                   5                  72                   3
                2014                  22                   3                   2                   1                   2                   3                   2                   2                   3                   2                   1                  70                   1                   2                  45                   1                  73                   2
                2014                  26                   4                   2                   1                   1                   4                   1                   4                   3                   0                   2                  40                   1                   2                  41                   1                  74                   2
                2014                  25                   2                   2                   1                   2                   1                   4                   2                   4                   1                   2                  40                   1                   2                  60                   1                  75                   3
                2014                  25                   3                   0                   3                   2                   3                   4                   3                   4                   3                   2                  40                   1                   2                  -1                   7                  76                   3
                2014                  25                   4                   4                   1                   1                   3                   4                   4                   3                   2                   2                  -1                   1                   2                  60                   1                  77                   3
                2014                  25                   4                   2                   1                   2                   7                   1                   3                   3                   1                   0                  -1                   3                   2                  65                   1                  78                   3
                2014                  16                   1                   2                   3                   1                   2                   0                   1                   1                   3                   2                  40                   1                   2                  -1                   7                  79                   3
                2014                  14                   8                   2                   3                   2                   7                   0                   0                   0                   4                   0                  -1                   5                   2                  -1                   8                  80                   1
                2014                   9                   2                   2                   3                   1                   1                   1                   7                   0                   3                   2                  30                   1                   2                  45                   1                  81                   2
                2014                   1                   2                   2                   3                   2                   7                   0                   0                   0                   1                   0                  -1                   5                   2                  -1                   4                  82                   3
                2014                   3                   2                   2                   2                   2                   7                   8                   7                   1                   1                   0                  -1                   4                   2                  -1                   4                  83                   3
                2014                   1                   3                   2                   3                   1                   1                   1                   3                   0                   0                   1                  -1                   1                   2                  -1                   7                  84                   1
                2014                  11                   2                   2                   2                   2                  -1                   0                   7                   0                   2                   0                  -1                   5                   2                  -1                   7                  85                   3
                2014                   9                   8                   2                   3                   2                   7                   7                   8                   0                   3                   0                  -1                   5                   2                  -1                   7                  86                   2
